from,to,value
10.13039/100014717,10.13039/501100004543,1
10.13039/100014717,10.13039/501100005089,1
10.13039/100014717,10.13039/501100004607,1
10.13039/501100004543,10.13039/501100007129,1
10.13039/501100004543,10.13039/501100005230,1
10.13039/501100004543,10.13039/501100008982,1
10.13039/501100004543,10.13039/501100012245,1
10.13039/501100004543,10.13039/501100007957,1
10.13039/501100000024,10.13039/501100001809,1
10.13039/501100000024,10.13039/501100002341,1
10.13039/501100000024,10.13039/501100004489,1
10.13039/501100000024,10.13039/501100001711,1
10.13039/501100000266,10.13039/501100012226,1
10.13039/501100000266,10.13039/501100004543,1
10.13039/501100000266,10.13039/501100004410,1
10.13039/501100000266,10.13039/501100002790,1
10.13039/501100000266,10.13039/501100001659,1
10.13039/501100000266,10.13039/501100012165,1
10.13039/501100000288,10.13039/501100012166,1
10.13039/501100000288,10.13039/501100009592,1
10.13039/501100000288,10.13039/501100008530,1
10.13039/501100000288,10.13039/501100000780,1
10.13039/501100000288,10.13039/501100012429,1
10.13039/501100000288,10.13039/501100002790,1
10.13039/100004358,10.13039/501100002551,1
10.13039/100004358,10.13039/501100000038,1
10.13039/100004358,10.13039/501100002701,1
10.13039/100006227,10.13039/501100001809,1
10.13039/100007847,10.13039/501100012226,1
10.13039/100007847,10.13039/501100002858,1
10.13039/100007847,10.13039/501100010211,1
10.13039/501100003787,10.13039/501100012226,1
10.13039/501100003787,10.13039/501100012166,1
10.13039/501100002367,10.13039/501100007128,1
10.13039/501100002367,10.13039/501100003453,1
10.13039/501100002367,10.13039/501100002858,1
10.13039/501100002367,10.13039/501100013290,1
10.13039/501100002367,10.13039/501100013314,1
10.13039/501100002367,10.13039/501100004750,1
10.13039/501100002858,10.13039/501100008081,1
10.13039/501100002858,10.13039/501100004826,1
10.13039/501100002858,10.13039/501100013290,1
10.13039/501100002858,10.13039/501100005374,1
10.13039/501100002858,10.13039/501100004750,1
10.13039/501100002858,10.13039/501100012245,1
10.13039/501100002858,10.13039/501100010877,1
10.13039/501100002858,10.13039/501100007957,1
10.13039/501100002858,10.13039/501100003819,1
10.13039/100010665,10.13039/501100000038,1
10.13039/100010665,10.13039/501100000781,1
10.13039/100010665,10.13039/501100001691,1
10.13039/100010665,10.13039/501100003329,1
10.13039/100000053,10.13039/501100002322,1
10.13039/100000053,10.13039/100000145,1
10.13039/100000053,10.13039/100000065,1
10.13039/100000053,10.13039/100000057,1
10.13039/501100008982,10.13039/501100012226,1
10.13039/501100008982,10.13039/501100013314,1
10.13039/501100003453,10.13039/501100003453,1
10.13039/501100003453,10.13039/501100008081,1
10.13039/501100003453,10.13039/501100004739,1
10.13039/501100003453,10.13039/501100005089,1
10.13039/501100003453,10.13039/501100010226,1
10.13039/501100003453,10.13039/501100010877,1
10.13039/501100004608,10.13039/501100005374,1
10.13039/501100004608,10.13039/501100004750,1
10.13039/100006190,10.13039/501100004608,1
10.13039/100006190,10.13039/501100003453,1
10.13039/100006190,10.13039/501100008081,1
10.13039/100006190,10.13039/501100000038,1
10.13039/100006190,10.13039/501100004147,1
10.13039/100006190,10.13039/501100004835,1
10.13039/501100001659,10.13039/501100001871,1
10.13039/501100001659,10.13039/501100002428,1
10.13039/501100001659,10.13039/501100003593,1
10.13039/501100001659,10.13039/501100002322,1
10.13039/501100001659,10.13039/501100002920,1
10.13039/501100001659,10.13039/501100001665,1
10.13039/501100001659,10.13039/501100004329,1
10.13039/501100004663,10.13039/501100012226,1
10.13039/100010661,10.13039/501100000038,1
10.13039/100010661,10.13039/501100008982,1
10.13039/100010661,10.13039/501100002341,1
10.13039/100010661,10.13039/501100008530,1
10.13039/100010661,10.13039/501100002347,1
10.13039/100010661,10.13039/501100000266,1
10.13039/100010661,10.13039/501100001659,1
10.13039/100010661,10.13039/501100001711,1
10.13039/100010661,10.13039/100010665,1
10.13039/100010661,10.13039/501100003130,1
10.13039/501100002341,10.13039/501100002341,1
10.13039/501100002341,10.13039/501100003329,1
10.13039/501100002341,10.13039/501100004359,1
10.13039/501100005089,10.13039/501100013290,1
10.13039/501100002766,10.13039/501100018537,1
10.13039/501100002766,10.13039/501100005089,1
10.13039/100006098,10.13039/501100001809,1
10.13039/100006098,10.13039/100008536,1
10.13039/501100001807,10.13039/501100001809,1
10.13039/501100001807,10.13039/501100001871,1
10.13039/100014103,10.13039/501100012166,1
10.13039/100014103,10.13039/501100000287,1
10.13039/501100001871,10.13039/501100001871,1
10.13039/501100001871,10.13039/501100003593,1
10.13039/100009950,10.13039/501100001809,1
10.13039/100009950,10.13039/501100002551,1
10.13039/100009950,10.13039/501100000925,1
10.13039/100009950,10.13039/501100003711,1
10.13039/501100001691,10.13039/501100007128,1
10.13039/501100001691,10.13039/501100001691,1
10.13039/501100001691,10.13039/501100010031,1
10.13039/501100001691,10.13039/501100002241,1
10.13039/501100003130,10.13039/501100011878,1
10.13039/501100000196,10.13039/501100000196,1
10.13039/501100000196,10.13039/501100001711,1
10.13039/501100000196,10.13039/501100001804,1
10.13039/100000936,10.13039/100014440,1
10.13039/501100004750,10.13039/501100007128,1
10.13039/501100004750,10.13039/501100004750,1
10.13039/100010002,10.13039/501100001475,1
10.13039/501100002701,10.13039/501100012226,1
10.13039/501100002701,10.13039/501100004663,1
10.13039/100012542,10.13039/501100002858,1
10.13039/501100003392,10.13039/501100004735,1
10.13039/501100003392,10.13039/501100012165,1
10.13039/501100003392,10.13039/501100004359,1
10.13039/501100004735,10.13039/501100013290,1
10.13039/501100010211,10.13039/501100012226,1
10.13039/501100010211,10.13039/501100012166,1
10.13039/501100009592,10.13039/501100012166,1
10.13039/501100009592,10.13039/501100012429,1
10.13039/100000145,10.13039/100000183,1
10.13039/100000145,10.13039/501100004543,1
10.13039/100000028,10.13039/501100001809,1
